"json_file","key","english","af","cn","hi","id","ja","ko","pl","ru","tr"
"airdrop.json","claimReferralCode","Claim your referral code <span>{{gems}}<image src='/assets/images/gem.png' alt=''/></span> gems.","Eis u verwysingskode <span>{{gems}}<image src=""/assets/images/gem.png"" alt=""""/></span> edelstene.","领取您的推荐码<span>{{gems}}<image src=""/assets/images/gem.png"" alt=""""/></span>宝石。","अपना रेफरल कोड <span>{{gems}}<image src=""/assets/images/gem.png"" alt=""""/></span> रत्नों का दावा करें।","Klaim kode referensi Anda <span>{{gems}}<image src=""/assets/images/gem.png"" alt=""""/></span> permata.","紹介コードを請求して<span>{{gems}}<image src=""/assets/images/gem.png"" alt=""""/></span>ジェムを獲得。","추천 코드를 사용하여 <span>{{gems}}<image src=""/assets/images/gem.png"" alt=""""/></span> 보석을 받으세요.","Odbierz swój kod polecający <span>{{gems}}<image src=""/assets/images/gem.png"" alt=""""/></span> klejnotów.","Получите ваш реферальный код <span>{{gems}}<image src=""/assets/images/gem.png"" alt=""""/></span> гемов.","Referans kodunuzu talep edin <span>{{gems}}<image src=""/assets/images/gem.png"" alt=""""/></span> taş."
"airdrop.json","claimReferralGifts","Claim your referral code and earn {{gems}} gems. Once you connect your account, you’ll be awarded your gems.","Eis u verwysingskode en verdien {{gems}} edelstene. Sodra u u rekening koppel, sal u u edelstene ontvang.","领取您的推荐码并赚取{{gems}}个宝石。一旦您连接账户，您将获得宝石。","अपना रेफरल कोड का दावा करें और {{gems}} रत्न कमाएं। एक बार जब आप अपना खाता कनेक्ट कर लेते हैं, तो आपको आपके रत्न प्रदान किए जाएंगे।","Klaim kode referensi Anda dan dapatkan {{gems}} permata. Setelah Anda menghubungkan akun Anda, Anda akan mendapatkan permata Anda.","紹介コードを請求して{{gems}}ジェムを獲得。アカウントを接続すると、ジェムが付与されます。","추천 코드를 사용하여 {{gems}}개의 보석을 받으세요. 계정을 연결하면 보석이 지급됩니다.","Odbierz swój kod polecający i zdobądź {{gems}} klejnotów. Po połączeniu konta otrzymasz swoje klejnoty.","Получите ваш реферальный код и заработайте {{gems}} гемов. Как только вы подключите свой аккаунт, вы получите свои гемы.","Referans kodunuzu talep edin ve {{gems}} taş kazanın. Hesabınızı bağladığınızda taşlarınız verilecektir."
"airdrop.json","giftReferralCode","Earn {{gems}} gems for each friend you invite to Tari Universe. Once they connect their account, you’ll be awarded your gems.","Verdien {{gems}} edelstene vir elke vriend wat u na Tari Heelal nooi. Sodra hulle hul rekening koppel, sal u u edelstene ontvang.","每邀请一位朋友加入Tari Universe，您将获得{{gems}}个宝石。一旦他们连接账户，您将获得宝石。","Tari Universe में आमंत्रित प्रत्येक मित्र के लिए {{gems}} रत्न कमाएं। एक बार जब वे अपना खाता कनेक्ट कर लेते हैं, तो आपको आपके रत्न प्रदान किए जाएंगे।","Dapatkan {{gems}} permata untuk setiap teman yang Anda undang ke Tari Universe. Setelah mereka menghubungkan akun mereka, Anda akan mendapatkan permata Anda.","Tari Universeに招待した友達ごとに{{gems}}ジェムを獲得。彼らがアカウントを接続すると、ジェムが付与されます。","Tari Universe에 친구를 초대할 때마다 {{gems}}개의 보석을 받으세요. 그들이 계정을 연결하면 보석이 지급됩니다.","Zdobądź {{gems}} klejnotów za każdego znajomego, którego zaprosisz do Tari Universe. Po połączeniu ich konta otrzymasz swoje klejnoty.","Заработайте {{gems}} гемов за каждого друга, которого вы пригласите в Tari Universe. Как только они подключат свой аккаунт, вы получите свои гемы.","Tari Universe""e davet ettiğiniz her arkadaş için {{gems}} taş kazanın. Onlar hesaplarını bağladığında taşlarınız verilecektir."
"airdrop.json","permissionNoGems.title","Make Tari Universe better","Maak Tari Heelal beter","让 Tari Universe 更好","Tari Universe को बेहतर बनाएं","Buat Tari Universe lebih baik","Tari Universeをより良くする","Tari Universe를 더 좋게 만들기","Ulepsz Tari Universe","Сделайте Tari Universe лучше","Tari Universe'ü daha iyi hale getirin"
"airdrop.json","permissionNoGems.text","Tari Universe would like to use analytics to improve your experience.","Tari Heelal wil graag analise gebruik om u ervaring te verbeter.","Tari Universe 希望使用分析数据来改善您的体验。","Tari Universe आपके अनुभव को बेहतर बनाने के लिए विश्लेषण का उपयोग करना चाहता है।","Tari Universe ingin menggunakan analitik untuk meningkatkan pengalaman Anda.","Tari Universeは、あなたの体験を向上させるために分析を使用したいと考えています。","Tari Universe는 귀하의 경험을 개선하기 위해 분석을 사용하고자 합니다.","Tari Universe chciałoby używać analityki, aby poprawić Twoje doświadczenia.","Tari Universe хочет использовать аналитику для улучшения вашего опыта.","Tari Universe, deneyiminizi iyileştirmek için analizleri kullanmak ister."
"airdrop.json","permission.title","Earn Gems & make Tari Universe better","Verdien Edelstene & maak Tari Heelal beter","赚取宝石并让 Tari Universe 更好","रत्न कमाएं और Tari Universe को बेहतर बनाएं","Dapatkan Permata & buat Tari Universe lebih baik","ジェムを獲得してTari Universeをより良くする","보석을 얻고 Tari Universe를 더 좋게 만들기","Earn Gems & make Tari Universe better","Зарабатывайте гемы и улучшайте Tari Universe","Mücevherler kazanın ve Tari Universe'ü daha iyi hale getirin"
"airdrop.json","permission.text","Tari Universe would like to use analytics to improve your experience and reward you with gems for mining.","Tari Heelal wil graag analise gebruik om u ervaring te verbeter en u met edelstene vir mynbou te beloon.","Tari Universe 希望使用分析数据来改善您的体验，并通过挖矿奖励您宝石。","Tari Universe आपके अनुभव को बेहतर बनाने और माइनिंग के लिए आपको रत्नों से पुरस्कृत करने के लिए विश्लेषण का उपयोग करना चाहता है।","Tari Universe ingin menggunakan analitik untuk meningkatkan pengalaman Anda dan memberi Anda hadiah dengan permata untuk menambang.","Tari Universeは、あなたの体験を向上させ、マイニングでジェムを報酬として提供するために分析を使用したいと考えています。","Tari Universe는 귀하의 경험을 개선하고 채굴에 대한 보상으로 보석을 제공하기 위해 분석을 사용하고자 합니다.","Tari Universe would like to use analytics to improve your experience and reward you with gems for mining.","Tari Universe хочет использовать аналитику для улучшения вашего опыта и вознаграждать вас гемами за майнинг.","Tari Universe, deneyiminizi iyileştirmek ve sizi madencilik için mücevherlerle ödüllendirmek için analizleri kullanmak istiyor."
"airdrop.json","claimModalTitle","EARN REWARDS FOR MINING ON TESTNET","Verdien belonings vir Mynbou op Toetsnetwerk","在测试网挖矿赚取奖励","टेस्टनेट पर माइनिंग के लिए पुरस्कार कमाएं","Dapatkan hadiah untuk Menambang di Testnet","テストネットでのマイニングで報酬を獲得","테스트넷에서 채굴하여 보상을 받으세요","Zarabiaj nagrody za wydobycie na Testnecie","Зарабатывайте награды за майнинг в тестовой сети","Testnet""te Madencilik Yaparak Ödüller Kazanın"
"airdrop.json","claimModalText","Earn gems by mining and referring friends! The more gems you earn, the larger your Tari airdrop! Have a referral code? Enter it below and earn <strong>{{gems}} bonus gems!</strong>","Verdien edelstene deur te myn en vriende te verwys om u airdrop-belonings tydens die toetsnetwerk te verhoog! Het u ""n verwysingskode? Voer dit hieronder in en verdien ""n bykomende <strong>{{gems}}</strong> edelstene vir u en u vriend!","通过挖矿和推荐朋友在测试网期间增加您的空投奖励！有推荐码吗？在下方输入并为您和您的朋友额外赚取<strong>{{gems}}</strong>个宝石！","टेस्टनेट के दौरान अपने एयरड्रॉप पुरस्कार को बढ़ाने के लिए माइनिंग और मित्रों को संदर्भित करके रत्न कमाएं! क्या आपके पास एक रेफरल कोड है? इसे नीचे दर्ज करें और अपने और अपने मित्र के लिए अतिरिक्त <strong>{{gems}}</strong> रत्न कमाएं!","Dapatkan permata dengan menambang dan merujuk teman untuk meningkatkan hadiah airdrop Anda selama testnet! Punya kode referensi? Masukkan di bawah ini dan dapatkan tambahan <strong>{{gems}}</strong> permata untuk Anda dan teman Anda!","テストネット中にマイニングと友達紹介でジェムを獲得し、エアドロップ報酬を増やしましょう！紹介コードがありますか？以下に入力して、あなたと友達に追加の<strong>{{gems}}</strong>ジェムを獲得しましょう！","테스트넷 동안 채굴하고 친구를 추천하여 에어드롭 보상을 늘리세요! 추천 코드가 있나요? 아래에 입력하고 추가로 <strong>{{gems}}</strong>개의 보석을 당신과 친구에게 받으세요!","Zarabiaj klejnoty poprzez wydobycie i polecanie znajomych, aby zwiększyć swoją nagrodę airdrop podczas testnetu! Masz kod polecający? Wpisz go poniżej i zdobądź dodatkowe <strong>{{gems}}</strong> klejnotów dla siebie i swojego znajomego!","Зарабатывайте гемы, майня и приглашая друзей, чтобы увеличить свою награду за airdrop в тестовой сети! У вас есть реферальный код? Введите его ниже и получите дополнительные <strong>{{gems}}</strong> гемов для вас и вашего друга!","Testnet sırasında madencilik yaparak ve arkadaşlarınızı davet ederek airdrop ödülünüzü artırın! Bir referans kodunuz var mı? Aşağıya girin ve siz ve arkadaşınız için ek <strong>{{gems}}</strong> taş kazanın!"
"airdrop.json","claimModalFieldLabel","Optional","Opsioneel","可选","वैकल्पिक","Opsional","任意","선택 사항","Opcjonalne","Необязательно","İsteğe Bağlı"
"airdrop.json","claimModalFieldPlaceholder","Enter invite code","Voer verwysingskode in","输入推荐码","रेफरल कोड दर्ज करें","Masukkan kode referensi","紹介コードを入力","추천 코드 입력","Wpisz kod polecający","Введите реферальный код","Referans kodunu girin"
"airdrop.json","claimModalFinePrint","<strong>Please note:</strong> claiming gems turns on analytics so we can improve Universe","<strong>Neem asseblief kennis:</strong> die eis van edelstene skakel analise aan sodat ons Universe kan verbeter","<strong>请注意：</strong> 领取宝石会开启分析功能，以便我们改进 Universe","<strong>कृपया ध्यान दें:</strong> रत्नों का दावा करने से विश्लेषण चालू हो जाता है ताकि हम Universe को बेहतर बना सकें","<strong>Harap diperhatikan:</strong> mengklaim permata mengaktifkan analitik sehingga kami dapat meningkatkan Universe","<strong>ご注意ください:</strong> ジェムを請求すると、Universeを改善するために分析が有効になります","<strong>참고:</strong> 보석을 수령하면 분석 기능이 활성화되어 Universe를 개선할 수 있습니다","<strong>Uwaga:</strong> odbieranie klejnotów włącza analitykę, abyśmy mogli ulepszyć Universe","<strong>Обратите внимание:</strong> получение камней включает аналитику, чтобы мы могли улучшить Universe","<strong>Lütfen dikkat:</strong> mücevher talep etmek, Universe""i geliştirebilmemiz için analitiği etkinleştirir"
"airdrop.json","topTooltipTitle","Testnet Rewards","Testnet Belonings","测试网奖励","टेस्टनेट पुरस्कार","Hadiah Testnet","テストネット報酬","테스트넷 보상","Nagrody Testnet","Награды Testnet","Testnet Ödülleri"
"airdrop.json","topTooltipText","Get a Tari Airdrop by collecting gems. The more gems you earn, the larger your airdrop.","Kry ""n Tari Airdrop deur edelstene in te samel. Hoe meer edelstene jy verdien, hoe groter is jou airdrop.","通过收集宝石获得 Tari 空投。你赚取的宝石越多，空投就越大。","रत्नों को इकट्ठा करके एक Tari Airdrop प्राप्त करें। जितने अधिक रत्न आप कमाते हैं, आपका airdrop उतना ही बड़ा होगा।","Dapatkan Airdrop Tari dengan mengumpulkan permata. Semakin banyak permata yang Anda kumpulkan, semakin besar airdrop Anda.","ジェムを集めてTariのエアドロップを獲得しましょう。ジェムを多く集めるほど、エアドロップが大きくなります。","보석을 모아 Tari 에어드롭을 받으세요. 더 많은 보석을 모을수록 더 큰 에어드롭을 받습니다.","Zdobądź Airdrop Tari, zbierając klejnoty. Im więcej klejnotów zdobędziesz, tym większy będzie twój airdrop.","Получите Tari Airdrop, собирая драгоценные камни. Чем больше камней вы заработаете, тем больше будет ваш airdrop.","Mücevher toplayarak bir Tari Airdrop kazanın. Ne kadar çok mücevher kazanırsanız, airdrop""unuz o kadar büyük olur."
"setup-view.json","setting-up","Setting up the Tari truth machine...","Stel Tari waarheidsmasjien op...","正在设置 Tari ...","Tari सत्य मशीन सेट कर रहा है...","Menyiapkan mesin kebenaran Tari...","Tariトゥルースマシンを設定中...","Tari 진실 기계 설정 중...","Konfiguracja Tari truth machine...","Настройка машины правды Tari...","Tari doğruluk makinesi kuruluyor..."
"setup-view.json","this-might-take-a-few-minutes","This might take a few minutes","Hierdie mag 'n paar minute neem","这可能需要几分钟","इसमें कुछ मिनट लग सकते हैं","Ini mungkin memakan waktu beberapa menit","数分かかる場合があります","몇 분 정도 걸릴 수 있습니다","To może zająć kilka minut","Это может занять несколько минут","Bu birkaç dakika sürebilir"
"setup-view.json","dont-worry","Don't worry, next time it won't take as long","Moenie bekommerd wees nie, volgende keer sal dit nie so lank vat nie","别担心，下次不会花这么长时间","चिंता न करें, अगली बार इसमें इतना समय नहीं लगेगा","Jangan khawatir, lain kali tidak akan memakan waktu lama","心配しないでください、次回はそれほど時間がかかりません","걱정 마세요, 다음 번에는 오래 걸리지 않을 것입니다","Nie martw się, następnym razem nie zajmie to tak długo","Не волнуйтесь, в следующий раз это займет меньше времени","Merak etmeyin, bir dahaki sefere bu kadar uzun sürmeyecek"
"setup-view.json","title.starting-up","Starting up","Begin","启动中","शुरू हो रहा है","Memulai","起動中","시작 중","Uruchamianie","Запуск","Başlatılıyor"
"setup-view.json","title.checking-latest-version-gpuminer","Checking for latest version of xtrgpuminer","Bepaal nuutste weergawe van xtrgpuminer","正在检查 xtrgpuminer 的最新版本","xtrgpuminer के नवीनतम संस्करण की जाँच कर रहा है","Memeriksa versi terbaru dari xtrgpuminer","xtrgpuminerの最新バージョンを確認中","xtrgpuminer의 최신 버전 확인 중","Sprawdzanie najnowszej wersji xtrgpuminer","Проверка последней версии xtrgpuminer","xtrgpuminer'in en son sürümü kontrol ediliyor"
"setup-view.json","title.checking-latest-version-node","Checking for latest version of node","Bepaal nuutste weergawe van node","正在检查节点的最新版本","नोड के नवीनतम संस्करण की जाँच कर रहा है","Memeriksa versi terbaru dari node","ノードの最新バージョンを確認中","노드의 최신 버전 확인 중","Sprawdzanie najnowszej wersji węzła","Проверка последней версии узла","Düğümün en son sürümü kontrol ediliyor"
"setup-view.json","title.checking-latest-version-mmproxy","Checking for latest version of mmproxy","Bepaal nuutste weergawe van mmproxy","正在检查 mmproxy 的最新版本","mmproxy के नवीनतम संस्करण की जाँच कर रहा है","Memeriksa versi terbaru dari mmproxy","mmproxyの最新バージョンを確認中","mmproxy의 최신 버전 확인 중","Sprawdzanie najnowszej wersji mmproxy","Проверка последней версии mmproxy","mmproxy'nin son sürümü kontrol ediliyor"
"setup-view.json","title.checking-latest-version-wallet","Checking for latest version of wallet","Bepaal nuutste weergawe van beursie","正在检查钱包的最新版本","वॉलेट के नवीनतम संस्करण की जाँच कर रहा है","Memeriksa versi terbaru dari dompet","ウォレットの最新バージョンを確認中","지갑의 최신 버전 확인 중","Sprawdzanie najnowszej wersji portfela","Проверка последней версии кошелька","Cüzdanın en son sürümü kontrol ediliyor"
"setup-view.json","title.checking-latest-version-xmrig","Checking for latest version of xmrig","Bepaal nuutste weergawe van xmrig","正在检查 xmrig 的最新版本","xmrig के नवीनतम संस्करण की जाँच कर रहा है","Memeriksa versi terbaru dari xmrig","xmrigの最新バージョンを確認中","xmrig의 최신 버전 확인 중","Sprawdzanie najnowszej wersji xmrig","Проверка последней версии xmrig","xmrig'in en son sürümü kontrol ediliyor"
"setup-view.json","title.checking-latest-version-sha-p2pool","Checking for latest version of sha-p2pool","Bepaal nuutste weergawe van sha-p2pool","正在检查 sha-p2pool 的最新版本","sha-p2pool के नवीनतम संस्करण की जाँच कर रहा है","Memeriksa versi terbaru dari sha-p2pool","sha-p2poolの最新バージョンを確認中","sha-p2pool의 최신 버전 확인 중","Sprawdzanie najnowszej wersji sha-p2pool","Проверка последней версии sha-p2pool","sha-p2pool'un en son sürümü kontrol ediliyor"
"setup-view.json","title.waiting-for-wallet","Waiting for wallet","Wag vir beursie","等待钱包","वॉलेट की प्रतीक्षा कर रहा है","Menunggu dompet","ウォレットを待っています","지갑 대기 중","Oczekiwanie na portfel","Ожидание кошелька","Cüzdan bekleniyor"
"setup-view.json","title.waiting-for-node","Waiting for node to sync","Wag vir node om te sinkroniseer","等待节点同步","नोड के सिंक होने की प्रतीक्षा कर रहा है","Menunggu node untuk sinkronisasi","ノードの同期を待っています","노드 동기화 대기 중","Oczekiwanie na synchronizację węzła","Ожидание синхронизации узла","Düğümün senkronize edilmesi bekleniyor"
"setup-view.json","title.preparing-for-initial-sync","Connecting to network peers {{initial_connected_peers}}/{{required_peers}}","Gekoppel aan netwerk nodes {{initial_connected_peers}}/{{required_peers}}","连接到网络节点 {{initial_connected_peers}}/{{required_peers}}","नेटवर्क साथियों से कनेक्ट हो रहा है {{initial_connected_peers}}/{{required_peers}}","Menghubungkan ke rekan jaringan {{initial_connected_peers}}/{{required_peers}}","ネットワークピアに接続中 {{initial_connected_peers}}/{{required_peers}}","네트워크 피어에 연결 중 {{initial_connected_peers}}/{{required_peers}}","Łączenie się z urządzeniami równorzędnymi w sieci {{initial_connected_peers}}/{{required_peers}}","Подключение к узлам сети {{initial_connected_peers}}/{{required_peers}}","İlk senkronizasyon için hazırlanıyor {{initial_connected_peers}}/{{required_peers}}"
"setup-view.json","title.starting-mmproxy","Starting merge mining proxy","Begin mmproxy","启动合并挖矿代理","मर्ज माइनिंग प्रॉक्सी शुरू हो रहा है","Memulai proxy penambangan gabungan","マージマイニングプロキシを開始しています","병합 채굴 프록시 시작 중","Uruchamianie mmproxy","Запуск прокси для объединенного майнинга","Merge mining proxy'sini başlatılıyor"
"setup-view.json","title.starting-p2pool","Starting P2Pool","Begin P2Pool","启动 P2Pool","P2Pool शुरू हो रहा है","Memulai P2Pool","P2Poolを開始しています","P2Pool 시작 중","Uruchamianie P2Pool","Запуск P2Pool","P2Pool başlatılıyor"
"setup-view.json","title.application-started","Applications started","Toepassings het begin","应用程序已启动","एप्लिकेशन शुरू हो गए हैं","Aplikasi dimulai","アプリケーションが開始されました","애플리케이션 시작됨","Aplikacje uruchomione","Приложения запущены","Uygulamalar başladı"
"setup-view.json","title.downloading","Downloading","Besig om af te laai","下载中","डाउनलोड हो रहा है","Mengunduh","ダウンロード中","다운로드 중","Pobieranie","Загрузка","İndiriliyor"
"setup-view.json","title.download-completed","Download completed","Aflaai voltooi","下载完成","डाउनलोड पूरा हुआ","Unduhan selesai","ダウンロードが完了しました","다운로드 완료","Pobieranie zakończone","Загрузка завершена","İndirme tamamlandı"
"setup-view.json","title.waiting-for-header-sync","Waiting for header sync. {{local_height}}/{{tip_height}} headers synced","Wag vir kopkopsinchronisasie. {{local_height}}/{{tip_height}} gesinchroniseer","等待头同步。{{local_height}}/{{tip_height}} 个头已同步","हेडर सिंक की प्रतीक्षा कर रहा है। {{local_height}}/{{tip_height}} हेडर सिंक हो गए हैं","Menunggu sinkronisasi header. {{local_height}}/{{tip_height}} header tersinkronisasi","ヘッダー同期を待っています。{{local_height}}/{{tip_height}} ヘッダーが同期されました","헤더 동기화 대기 중. {{local_height}}/{{tip_height}} 헤더 동기화됨","Oczekiwanie na synchronizację nagłówków. {{local_height}}/{{tip_height}} zsynchronizowano","Ожидание синхронизации заголовков. Синхронизировано {{local_height}}/{{tip_height}} заголовков","Üstbilgi senkronizasyonu bekleniyor. {{local_height}}/{{tip_height}} üstbilgiler senkronize edildi"
"setup-view.json","title.waiting-for-block-sync","Waiting for block sync. {{local_height}}/{{tip_height}} blocks synced","Wag vir bloksinchronisasie. {{local_height}}/{{tip_height}} gesinchroniseer","等待区块同步。{{local_height}}/{{tip_height}} 个区块已同步","ब्लॉक सिंक की प्रतीक्षा कर रहा है। {{local_height}}/{{tip_height}} ब्लॉक सिंक हो गए हैं","Menunggu sinkronisasi blok. {{local_height}}/{{tip_height}} blok tersinkronisasi","ブロック同期を待っています。{{local_height}}/{{tip_height}} ブロックが同期されました","블록 동기화 대기 중. {{local_height}}/{{tip_height}} 블록 동기화됨","Oczekiwanie na synchronizację bloków. {{local_height}}/{{tip_height}} zsynchronizowano","Ожидание синхронизации блоков. Синхронизировано {{local_height}}/{{tip_height}} блоков","Blok senkronize için bekleniyor. {{local_height}}/{{tip_height}} bloklar senkronize edildi"
"setup-view.json","new-tari-version-available","A new version of Tari Universe is available!","'n Nuwe weergawe van Tari Universe is beskikbaar","有新版本的 Tari Universe 可用！","Tari Universe का एक नया संस्करण उपलब्ध है!","Versi baru dari Tari Universe tersedia!","Tari Universeの新しいバージョンが利用可能です！","Tari Universe의 새 버전이 출시되었습니다!","Nowa wersja Tari Universe jest dostępna!","Доступна новая версия Tari Universe!","Tari Universe'ün yeni sürümü var!"
"setup-view.json","would-you-like-to-install","Would you like to install Tari Universe {{version}} now?","Wil jy nou Tari Universe {{version}} installeer?","您想现在安装 Tari Universe {{version}} 吗？","क्या आप अब Tari Universe {{version}} स्थापित करना चाहेंगे?","Apakah Anda ingin menginstal Tari Universe {{version}} sekarang?","Tari Universe {{version}} を今すぐインストールしますか？","지금 Tari Universe {{version}}을(를) 설치하시겠습니까?","Czy chciałbys zainstalować Tari Universe {{version}} teraz?","Хотите установить Tari Universe {{version}} сейчас?","Tari Universe'ü şimdi yüklemek ister misiniz {{version}} ?"
"setup-view.json","yes","Yes","Ja","是","हाँ","Ya","はい","예","Tak","Да","Evet"
"setup-view.json","no","No","Nee","否","नहीं","Tidak","いいえ","아니요","Nie","Нет","Hayır"
"tribes-view.json","title","Squad view","Stamme-sig","部落的观点","स्क्वाड दृश्य","Tampilan Squad","スクワッドビュー","스쿼드 보기","widok plemion","Просмотр команды","Kabile görünümü"
"components.json","field-error-message.invalid","Field invalid","Veld ongeldig","字段无效","फ़ील्ड अमान्य","Kolom tidak valid","フィールドが無効です","잘못된 필드","Nieprawidłowe pole","Поле недействительно","Alan geçersiz"
"components.json","field-error-message.required","Field required","Veld benodig","必填字段","फ़ील्ड आवश्यक","Kolom diperlukan","フィールドが必要です","필수 필드","Pole wymagane","Поле обязательно","Alan gerekli"
"components.json","field-error-message.password-too-short","Password must have at least 8 characters","Wagwoord moet ten minste 8 karakters hê","密码必须至少包含 8 个字符","पासवर्ड में कम से कम 8 वर्ण होने चाहिए","Kata sandi harus memiliki setidaknya 8 karakter","パスワードは8文字以上でなければなりません","비밀번호는 최소 8자 이상이어야 합니다","Hasło musi mieć co najmniej 8 znaków","Пароль должен содержать не менее 8 символов","Şifre en az 8 karakterden oluşmalıdır"
"components.json","field-error-message.invalid-url","Must be a valid URL address","Moet 'n geldige URL-adres wees","必须是有效的链接","एक मान्य URL पता होना चाहिए","Harus berupa alamat URL yang valid","有効なURLアドレスでなければなりません","유효한 URL 주소여야 합니다","Musisz podać poprawny adres URL","Должен быть действительный URL-адрес","Geçerli bir URL adresi olmalıdır"
"components.json","field-error-message.invalid-email","Enter a valid email address","Voer 'n geldige e-posadres in","输入有效的电子邮件地址","एक मान्य ईमेल पता दर्ज करें","Masukkan alamat email yang valid","有効なメールアドレスを入力してください","유효한 이메일 주소를 입력하세요","Podaj poprawny adres e-mail","Введите действительный адрес электронной почты","Geçerli bir e-posta adresi girin"
"components.json","field-error-message.invalid-date","Date is invalid","Datum is ongeldig","日期无效","तारीख अमान्य है","Tanggal tidak valid","日付が無効です","잘못된 날짜","Data jest nieprawidłowa","Дата недействительна","Geçersiz tarih"
"components.json","field-error-message.integers-only","Only Integers Allowed","Slegs heelgetalle toegelaat","只允许整数","केवल पूर्णांक की अनुमति है","Hanya bilangan bulat yang diizinkan","整数のみ許可されます","정수만 허용됨","Dozwolone są tylko liczby całkowite","Допускаются только целые числа","Sadece Tamsayılara İzin Verilir"
